seed,method,horizon,calibration_horizon,weight_relative_mse,kernel_relative_mse,rollout_relative_mse,tail_rollout_relative_mse,max_radius,unstable_modes,operator_file_bytes,shared_projection_bytes,total_deployed_bytes,fit_elapsed_s,peak_cuda_bytes
0,cartesian_normalized_memory,128,128,1.67765198531135,1.1375377049677942,1.099910940186629,1.1323476527694158,0.9998864531517028,0,304,4096,4400,0.2580897808074951,38998528
0,cartesian_normalized_memory,256,128,1.67765198531135,1.2308167951726914,1.1746772526563996,1.1992523581657215,0.9998864531517028,0,304,4096,4400,0.2580897808074951,38998528
0,cartesian_normalized_memory,512,128,1.67765198531135,1.4130529893898267,1.2309001951124585,1.2850898291099522,0.9998864531517028,0,304,4096,4400,0.2580897808074951,43384832
0,phase_nearest,64,128,0.010462176281192377,1.4170850302659186,1.357091984733287,1.5370348420245616,0.9998864531517028,0,304,4096,4400,0.0007483959197998047,36747264
0,phase_nearest,128,128,0.010462176281192377,1.5686196004825665,1.50865762874698,1.5901528063147088,0.9998864531517028,0,304,4096,4400,0.0007483959197998047,36747264
0,phase_nearest,256,128,0.010462176281192377,1.6779910798864237,1.6050928527474655,1.675997840716826,0.9998864531517028,0,304,4096,4400,0.0007483959197998047,38483968
0,phase_nearest,512,128,0.010462176281192377,1.7229082801636493,1.5229909381941458,1.5527320812134513,0.9998864531517028,0,304,4096,4400,0.0007483959197998047,43384832
0,phase_weight,64,128,0.010458008871745679,1.3989808775570276,1.341399641068207,1.5173519038224659,0.9998864531517029,0,304,4096,4400,0.13897085189819336,36747264
0,phase_weight,128,128,0.010458008871745679,1.541599446866327,1.490376123633768,1.5689286718721074,0.9998864531517029,0,304,4096,4400,0.13897085189819336,36747264
0,phase_weight,256,128,0.010458008871745679,1.6607326412364152,1.6010858837936526,1.6785012906406993,0.9998864531517029,0,304,4096,4400,0.13897085189819336,38483968
0,phase_weight,512,128,0.010458008871745679,1.6787893199193455,1.5454398253439243,1.5868020414386792,0.9998864531517029,0,304,4096,4400,0.13897085189819336,43384832
0,phase_memory,64,128,1.302868354780504,0.8871453666361071,0.8638215908493716,0.8974284944940314,0.999886453151703,0,304,4096,4400,0.2424931526184082,38998016
0,phase_memory,128,128,1.302868354780504,0.9600889133190421,0.9208472348826016,0.9411036629103544,0.999886453151703,0,304,4096,4400,0.2424931526184082,38998016
0,phase_memory,256,128,1.302868354780504,1.1757293193093499,1.0540425956271948,1.106177195754384,0.999886453151703,0,304,4096,4400,0.2424931526184082,38998016
